[trackB-stable-v5] start 2026-08-26T14:08:08+02:00
[trackB-stable-v5] cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr resume=models/student_global_stable_v4.ckpt cfg=configs/student_global_v5.yaml -> models/student_global_stable_v5.ckpt
torch 2.5.1 cuda True dev NVIDIA H200
[Track B] config=configs/student_global_v5.yaml teacher_ckpt=models/teacher_pruned.ckpt (exists=True)
[Track B] target stats from cache c0:mean=0.000589/std=0.002058 c1:mean=1.009e+05/std=1394 c2:mean=278.9/std=21.1
[Track B] input stats from cache c0:mean=211.6/std=10.28 c1:mean=207.9/std=12.08 c2:mean=213/std=8.718 c3:mean=217.9/std=7.402 c4:mean=222.9/std=8.931 ...
[Track B] resumed model+heads from models/student_global_stable_v4.ckpt
[Track B] tp_logit_boost=0.0002 applied to head bias[0]
[Track B] channel_weights (tp,msl,2t)=[6.0, 0.25, 2.5]
[Track B] africa_mix=0.5 mask_frac=0.0945 tp_mode=softplus_soft precip_log1p_weight=6.0 wet_boost=12.0 underpred=4.0 pod=2.0 dry_collapse=1.0 normalize_inputs=True
[Track B] schedule feat@999 (β→0.0, ramp=1) spec@999 (γ→0.0, ramp=1) grad_clip=1.0 norm=True phys=True resume=models/student_global_stable_v4.ckpt
epoch 55 loss=8.075646 L_A=0.246498 L_B=0.000000 L_C=0.000000 L_tp=1.304858 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 56 loss=8.094253 L_A=0.247300 L_B=0.000000 L_C=0.000000 L_tp=1.307826 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 57 loss=8.057307 L_A=0.246304 L_B=0.000000 L_C=0.000000 L_tp=1.301834 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 58 loss=8.059911 L_A=0.246392 L_B=0.000000 L_C=0.000000 L_tp=1.302253 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 59 loss=8.053091 L_A=0.245714 L_B=0.000000 L_C=0.000000 L_tp=1.301230 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 60 loss=8.102480 L_A=0.247142 L_B=0.000000 L_C=0.000000 L_tp=1.309223 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 61 loss=8.058807 L_A=0.246372 L_B=0.000000 L_C=0.000000 L_tp=1.302072 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 62 loss=8.080551 L_A=0.246968 L_B=0.000000 L_C=0.000000 L_tp=1.305597 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 63 loss=8.084477 L_A=0.247357 L_B=0.000000 L_C=0.000000 L_tp=1.306187 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 64 loss=8.076053 L_A=0.246643 L_B=0.000000 L_C=0.000000 L_tp=1.304902 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
